en,Sport,"Who holds the record for the most Grand Slam titles in men's tennis as of 2024?","Novak Djokovic","Roger Federer","Rafael Nadal","Pete Sampras"
hr,Sport,"Tko drzi rekord za najvise Grand Slam naslova u muskom tenisu zakljucno s 2024.?","Novak Djokovic","Roger Federer","Rafael Nadal","Pete Sampras"
en,Sport,"Which country won the 2022 FIFA World Cup?","Argentina","France","Brazil","Germany"
hr,Sport,"Koja je drzava osvojila Svjetsko prvenstvo u nogometu 2022.?","Argentina","Francuska","Brazil","Njemacka"
en,Sport,"How many players are there on a standard soccer team?","11","9","10","12"
hr,Sport,"Koliko igraca ima standardna nogometna momcad?","11","9","10","12"
en,Sport,"Which athlete holds the record for the most Olympic gold medals?","Michael Phelps","Usain Bolt","Carl Lewis","Mark Spitz"
hr,Sport,"Koji sportas drzi rekord po broju osvojenih olimpijskih zlatnih medalja?","Michael Phelps","Usain Bolt","Carl Lewis","Mark Spitz"
en,Sport,"What is the regulation height of a basketball hoop?","10 feet","8 feet","9 feet","11 feet"
hr,Sport,"Kolika je propisana visina kosarkaskog obruca?","10 stopa","8 stopa","9 stopa","11 stopa"
en,Sport,"Which country hosts the Tour de France?","France","Italy","Spain","Germany"
hr,Sport,"Koja drzava je domacin utrke Tour de France?","Francuska","Italija","Spanjolska","Njemacka"
en,Sport,"What is the maximum score in a single frame of bowling?","30","20","40","25"
hr,Sport,"Koji je najveci moguci broj bodova u jednom frameu kuglanja?","30","20","40","25"
en,Sport,"Which sport uses the term 'birdie'?","Badminton","Golf","Tennis","Squash"
hr,Sport,"U kojem se sportu koristi izraz 'birdie'?","Badminton","Golf","Tenis","Squash"
en,Sport,"How many innings are in a standard Major League Baseball game?","9","7","10","12"
hr,Sport,"Koliko inninga ima standardna utakmica Major League Baseballa?","9","7","10","12"
en,Sport,"In which sport would you perform a slam dunk?","Basketball","Volleyball","Tennis","Handball"
hr,Sport,"U kojem sportu izvodis slam dunk?","Kosarka","Odbojka","Tenis","Rukomet"
en,History,"Who was the first President of the United States?","George Washington","Thomas Jefferson","Abraham Lincoln","John Adams"
hr,History,"Tko je bio prvi predsjednik Sjedinjenih Americkih Drzava?","George Washington","Thomas Jefferson","Abraham Lincoln","John Adams"
en,History,"In which year did the Titanic sink?","1912","1905","1923","1898"
hr,History,"Koje je godine potonuo Titanic?","1912","1905","1923","1898"
en,History,"What ancient civilization built the pyramids of Giza?","Egyptians","Romans","Greeks","Mayans"
hr,History,"Koja je drevna civilizacija izgradila piramide u Gizi?","Egipcani","Rimljani","Grci","Maje"
en,History,"Which war was fought between the North and South regions of the United States?","The American Civil War","The Revolutionary War","World War I","The War of 1812"
hr,History,"Koji se rat vodio izmedu sjevernih i juznih saveznih drzava SAD-a?","Americki gradanski rat","Rat za neovisnost","Prvi svjetski rat","Rat iz 1812."
en,History,"Who was the British Prime Minister during World War II?","Winston Churchill","Margaret Thatcher","Neville Chamberlain","Tony Blair"
hr,History,"Tko je bio britanski premijer tijekom Drugog svjetskog rata?","Winston Churchill","Margaret Thatcher","Neville Chamberlain","Tony Blair"
en,History,"What was the name of the first human-made satellite launched into space?","Sputnik 1","Apollo 11","Explorer 1","Voyager 1"
hr,History,"Kako se zvao prvi umjetni satelit lansiran u svemir?","Sputnik 1","Apollo 11","Explorer 1","Voyager 1"
en,History,"Which country was the first to land a man on the moon?","USA","Russia","China","Germany"
hr,History,"Koja je drzava prva spustila covjeka na Mjesec?","SAD","Rusija","Kina","Njemacka"
en,History,"Who discovered America in 1492?","Christopher Columbus","Leif Erikson","James Cook","Marco Polo"
hr,History,"Tko je 1492. otkrio Ameriku?","Kristofor Kolumbo","Leif Erikson","James Cook","Marco Polo"
en,History,"What year did the Berlin Wall fall?","1989","1985","1991","1979"
hr,History,"Koje je godine pao Berlinski zid?","1989","1985","1991","1979"
en,History,"Who wrote the Declaration of Independence?","Thomas Jefferson","Benjamin Franklin","John Adams","George Washington"
hr,History,"Tko je napisao Deklaraciju neovisnosti?","Thomas Jefferson","Benjamin Franklin","John Adams","George Washington"
en,Music,"Which British band released the album 'A Night at the Opera' featuring 'Bohemian Rhapsody'?","Queen","The Beatles","Led Zeppelin","Pink Floyd"
hr,Music,"Koji je britanski bend objavio album 'A Night at the Opera' s pjesmom 'Bohemian Rhapsody'?","Queen","The Beatles","Led Zeppelin","Pink Floyd"
en,Music,"Which American singer is known as the 'King of Pop'?","Michael Jackson","Elvis Presley","Prince","Frank Sinatra"
hr,Music,"Koji je americki pjevac poznat kao 'Kralj popa'?","Michael Jackson","Elvis Presley","Prince","Frank Sinatra"
en,Music,"What musical instrument does a pianist play?","Piano","Guitar","Violin","Drums"
hr,Music,"Koji glazbeni instrument svira pijanist?","Klavir","Gitara","Violina","Bubnjevi"
en,Music,"Which genre of music is most associated with Bob Marley?","Reggae","Rock","Blues","Jazz"
hr,Music,"Koji se glazbeni zanr najvise povezuje s Bobom Marleyjem?","Reggae","Rock","Blues","Jazz"
en,Music,"Who composed the famous 'Fifth Symphony'?","Ludwig van Beethoven","Johann Sebastian Bach","Wolfgang Amadeus Mozart","Franz Schubert"
hr,Music,"Tko je skladao poznatu 'Petu simfoniju'?","Ludwig van Beethoven","Johann Sebastian Bach","Wolfgang Amadeus Mozart","Franz Schubert"
en,Music,"Which member of The Beatles was known as the 'Quiet Beatle'?","George Harrison","John Lennon","Paul McCartney","Ringo Starr"
hr,Music,"Koji je clan Beatlesa bio poznat kao 'Tihi Beatle'?","George Harrison","John Lennon","Paul McCartney","Ringo Starr"
en,Music,"What is the name of Taylor Swift's 2020 album featuring 'Cardigan'?","Folklore","Evermore","Lover","Red"
hr,Music,"Kako se zove album Taylor Swift iz 2020. na kojem se nalazi 'Cardigan'?","Folklore","Evermore","Lover","Red"
en,Music,"Who was the lead singer of Queen?","Freddie Mercury","Mick Jagger","Robert Plant","David Bowie"
hr,Music,"Tko je bio glavni pjevac grupe Queen?","Freddie Mercury","Mick Jagger","Robert Plant","David Bowie"
en,Music,"Which singer is known for the song 'Rolling in the Deep'?","Adele","Beyonce","Rihanna","Whitney Houston"
hr,Music,"Koja je pjevacica poznata po pjesmi 'Rolling in the Deep'?","Adele","Beyonce","Rihanna","Whitney Houston"
en,Music,"What instrument is commonly associated with jazz music?","Saxophone","Piano","Cello","Tuba"
hr,Music,"Koji se instrument najcesce povezuje s jazz glazbom?","Saksofon","Klavir","Violoncelo","Tuba"
en,Science,"What is the chemical symbol for gold?","Au","Ag","Pb","Fe"
hr,Science,"Koji je kemijski simbol za zlato?","Au","Ag","Pb","Fe"
en,Science,"What planet is known as the Red Planet?","Mars","Venus","Jupiter","Saturn"
hr,Science,"Koji je planet poznat kao Crveni planet?","Mars","Venera","Jupiter","Saturn"
en,Science,"What is the powerhouse of the cell?","Mitochondria","Nucleus","Ribosome","Endoplasmic Reticulum"
hr,Science,"Sto je elektrana stanice?","Mitohondrij","Jezgra","Ribosom","Endoplazmatski retikulum"
en,Science,"Which gas do plants absorb from the atmosphere?","Carbon dioxide","Oxygen","Nitrogen","Hydrogen"
hr,Science,"Koji plin biljke upijaju iz atmosfere?","Ugljikov dioksid","Kisik","Dusik","Vodik"
en,Science,"What is the boiling point of water at sea level in Celsius?","100","90","110","120"
hr,Science,"Koje je vreliste vode na razini mora u Celzijevim stupnjevima?","100","90","110","120"
en,Science,"What is the hardest naturally occurring mineral?","Diamond","Quartz","Topaz","Emerald"
hr,Science,"Koji je najtvrdji prirodni mineral?","Dijamant","Kvarc","Topaz","Smaragd"
en,Science,"How many bones are in the adult human body?","206","195","210","250"
hr,Science,"Koliko kostiju ima tijelo odraslog covjeka?","206","195","210","250"
en,Science,"What part of the human eye controls the amount of light that enters?","Pupil","Retina","Cornea","Iris"
hr,Science,"Koji dio ljudskog oka kontrolira kolicinu svjetlosti koja ulazi?","Zjenica","Mreznica","Roznica","Sarenica"
en,Science,"Which planet is the largest in the Solar System?","Jupiter","Saturn","Neptune","Earth"
hr,Science,"Koji je planet najveci u Suncevu sustavu?","Jupiter","Saturn","Neptun","Zemlja"
en,Science,"What is the study of earthquakes called?","Seismology","Geology","Meteorology","Volcanology"
hr,Science,"Kako se zove znanost koja proucava potrese?","Seizmologija","Geologija","Meteorologija","Vulkanologija"
en,Art,"Who painted the famous artwork 'The Starry Night'?","Vincent van Gogh","Pablo Picasso","Claude Monet","Leonardo da Vinci"
hr,Art,"Tko je naslikao poznato djelo 'Zvjezdana noc'?","Vincent van Gogh","Pablo Picasso","Claude Monet","Leonardo da Vinci"
en,Art,"What type of paint is commonly used on canvas?","Acrylic","Watercolor","Oil","Tempera"
hr,Art,"Koja se vrsta boje cesto koristi na platnu?","Akril","Akvarel","Ulje","Tempera"
en,Art,"Who sculpted 'David' and 'Pieta'?","Michelangelo","Donatello","Leonardo da Vinci","Auguste Rodin"
hr,Art,"Tko je isklesao 'Davida' i 'Pietu'?","Michelangelo","Donatello","Leonardo da Vinci","Auguste Rodin"
en,Art,"Which museum is home to the Mona Lisa?","The Louvre","The British Museum","The Vatican Museums","The Met"
hr,Art,"U kojem se muzeju nalazi Mona Lisa?","Louvre","Britanski muzej","Vatikanski muzeji","The Met"
en,Art,"What is the term for a painting made with small dots of color?","Pointillism","Cubism","Surrealism","Impressionism"
hr,Art,"Kako se zove slikarska tehnika u kojoj se slika malim tockama boje?","Pointilizam","Kubizam","Nadrealizam","Impresionizam"
en,Art,"Who painted 'The Persistence of Memory'?","Salvador Dali","Frida Kahlo","Edvard Munch","Gustav Klimt"
hr,Art,"Tko je naslikao 'Postojanost sjecanja'?","Salvador Dali","Frida Kahlo","Edvard Munch","Gustav Klimt"
en,Art,"Which artist is known for cutting off part of his ear?","Vincent van Gogh","Pablo Picasso","Claude Monet","Andy Warhol"
hr,Art,"Koji je umjetnik poznat po tome da je odrezao dio svojeg uha?","Vincent van Gogh","Pablo Picasso","Claude Monet","Andy Warhol"
en,Art,"What famous sculpture was created by Auguste Rodin?","The Thinker","Venus de Milo","David","Winged Victory of Samothrace"
hr,Art,"Koju je poznatu skulpturu stvorio Auguste Rodin?","Mislilac","Venera s Mila","David","Krila pobjeda sa Samotrake"
en,Art,"Which artistic movement is associated with Claude Monet?","Impressionism","Surrealism","Cubism","Baroque"
hr,Art,"Koji se umjetnicki pravac povezuje s Claudeom Monetom?","Impresionizam","Nadrealizam","Kubizam","Barok"
en,Art,"What is the technique of applying thick layers of paint to create texture?","Impasto","Sgraffito","Fresco","Glazing"
hr,Art,"Kako se zove tehnika nanosenja debelih slojeva boje radi stvaranja teksture?","Impasto","Sgrafito","Freska","Glaziranje"
